Timestamp;Latitude;Longitude;Bearing;Altitude;Speed (km/h);Location accuracy (in meters);Value X;Value Y;Value Z
2020-03-04 18:46:35;62.24423863;25.75888913;53.8;101.0;1.317953;7.0;1.0726024;-13.618219;0.35434186
2020-03-04 18:46:42;62.24423844;25.75891401;53.8;100.0;1.3069812;9.0;-1.2641385;-15.303738;-1.3790601
2020-03-04 18:46:44;62.24430441;25.7588892;70.4;94.0;1.3086252;8.0;1.1013328;-7.4124484;-1.1204864
2020-03-04 18:46:46;62.24431197;25.7589366;70.7;94.0;1.3018832;9.0;-3.6583402;-1.3694834;5.1235914
2020-03-04 18:46:48;62.24431676;25.75901815;52.3;95.0;1.03;9.0;0.4309563;-6.742072;-1.6663644
2020-03-04 18:46:50;62.24431676;25.75901815;52.3;95.0;1.03;9.0;-3.7732618;-7.374141;6.7324953
2020-03-04 18:46:57;62.24432968;25.75909149;53.7;100.0;0.97;8.0;0.02873042;-3.2082303;-2.5570073
2020-03-04 18:46:59;62.24442363;25.75920007;52.2;97.0;1.3086252;8.0;-5.9759274;-9.193734;12.0093155
2020-03-04 18:47:04;62.24443788;25.7592398;52.3;97.0;1.3018832;9.0;-1.7429788;-13.388376;-0.9672575
2020-03-04 18:47:05;62.24443788;25.7592398;52.3;97.0;1.3018832;9.0;-0.7086837;-12.660539;-0.41180268
2020-03-04 18:47:07;62.24453551;25.75907651;327.2;162.0;1.322422;12.0;-5.161899;1.3790601;-5.2385135
2020-03-04 18:47:09;62.24453951;25.75900562;322.2;152.0;1.3500371;12.0;-0.4309563;-4.10845;-0.10534488
2020-03-04 18:47:11;62.24455232;25.75894494;3.4;135.0;1.27;6.0;8.015787;-14.748282;0.5363012
2020-03-04 18:47:18;62.24456378;25.7589464;3.4;133.0;1.27;7.0;1.7621324;-7.1826053;-1.0151415
2020-03-04 18:47:20;62.24466124;25.75895513;319.8;129.0;0.9613012;9.0;0.61291564;-7.479486;1.3790601
2020-03-04 18:47:21;62.24466124;25.75895513;319.8;129.0;0.9613012;9.0;-0.019153614;-11.204864;4.76925
2020-03-04 18:47:23;62.24460938;25.75901673;172.5;120.0;0.829759;10.0;2.834735;-3.1890767;0.5267244
2020-03-04 18:47:25;62.24463269;25.75889977;308.5;123.0;0.8800568;9.0;-8.350976;9.174581;7.4603324
2020-03-04 18:47:25;62.24463269;25.75889977;308.5;123.0;0.8800568;9.0;-3.4476504;1.7142484;13.177686
2020-03-04 18:47:26;62.24463269;25.75889977;308.5;123.0;0.8800568;9.0;-1.4939818;4.951209;11.434708
2020-03-04 18:47:26;62.24465111;25.75880313;287.1;126.0;1.2519585;10.0;-1.0630256;4.7979803;8.829816
2020-03-04 18:47:27;62.24465111;25.75880313;287.1;126.0;1.2519585;10.0;-0.37349546;2.3463178;5.6407394
2020-03-04 18:47:27;62.24465111;25.75880313;287.1;126.0;1.2519585;10.0;-0.5554548;2.5187001;6.4739213
2020-03-04 18:47:28;62.24465111;25.75880313;287.1;126.0;1.2519585;10.0;-0.9768343;1.292869;16.089035
2020-03-04 18:47:28;62.24468669;25.75873573;309.1;123.0;1.4169333;8.0;-0.2873042;1.0821792;10.505757
2020-03-04 18:47:29;62.24468669;25.75873573;309.1;123.0;1.4169333;8.0;-0.78529817;2.2409728;16.730682
